10Y,7Y,5Y,3Y,2Y,1Y
3.73,3.21,2.63,1.77,1.37,1.09
3.7,3.17,2.59,1.72,1.33,1.07
3.66,3.12,2.52,1.67,1.29,1.06
3.74,3.2,2.6,1.74,1.35,1.07
3.94,3.4,2.81,1.89,1.45,1.1
3.97,3.44,2.87,1.94,1.49,1.12
3.98,3.45,2.88,1.93,1.47,1.11
4,3.49,2.93,1.98,1.51,1.12
4.19,3.67,3.1,2.11,1.61,1.17
4.17,3.64,3.07,2.1,1.57,1.12
4.12,3.6,3.04,2.04,1.54,1.11
4.2,3.66,3.08,2.05,1.54,1.13
4.22,3.69,3.1,2.06,1.52,1.13
4.31,3.79,3.21,2.17,1.61,1.17
4.42,3.9,3.33,2.26,1.67,1.17
4.34,3.85,3.27,2.21,1.64,1.17
4.49,3.98,3.38,2.33,1.8,1.28
4.44,4.01,3.37,2.38,1.85,1.31
4.35,3.86,3.24,2.24,1.71,1.24
4.47,3.98,3.37,2.44,1.88,1.32
4.32,3.82,3.25,2.36,1.78,1.28
4.3,3.78,3.19,2.3,1.74,1.26
4.27,3.76,3.17,2.27,1.72,1.22
4.38,3.86,3.26,2.35,1.81,1.3
4.37,3.85,3.23,2.29,1.71,1.25
4.58,4.06,3.43,2.47,1.86,1.31
4.55,4.05,3.42,2.47,1.86,1.31
4.55,4.04,3.42,2.47,1.85,1.3
4.49,3.99,3.37,2.46,1.87,1.33
4.38,3.89,3.27,2.37,1.81,1.29
4.45,3.96,3.35,2.43,1.84,1.3
4.53,4.07,3.51,2.56,1.98,1.37
4.48,4.03,3.47,2.54,1.97,1.35
4.53,4.08,3.52,2.59,2.02,1.35
4.5,4.05,3.5,2.55,1.96,1.32
4.54,4.11,3.55,2.61,2.05,1.38
4.42,3.96,3.42,2.48,1.93,1.34
4.45,4,3.46,2.51,1.95,1.35
NA,NA,NA,NA,NA,NA
4.61,4.17,3.63,2.62,2.04,1.39
4.6,4.15,3.61,2.62,2.02,1.36
4.52,4.04,3.5,2.51,1.91,1.33
4.35,3.83,3.28,2.28,1.72,1.24
4.41,3.88,3.32,2.33,1.75,1.27
4.37,3.85,3.28,2.29,1.71,1.23
4.28,3.73,3.18,2.19,1.64,1.2
4.35,3.79,3.24,2.27,1.71,1.22
4.27,3.72,3.15,2.19,1.66,1.2
4.28,3.71,3.12,2.17,1.63,1.2
4.29,3.72,3.12,2.16,1.63,1.22
4.2,3.64,3.06,2.13,1.63,1.19
4.19,3.66,3.09,2.16,1.68,1.23
4.17,3.66,3.11,2.2,1.7,1.23
4.26,3.73,3.16,2.21,1.7,1.24
4.24,3.7,3.13,2.2,1.68,1.24
4.16,3.62,3.07,2.15,1.66,1.22
4.12,3.59,3.05,2.14,1.65,1.21
4.04,3.49,2.95,2.06,1.6,1.21
4.09,3.54,2.98,2.07,1.61,1.21
3.96,3.41,2.85,1.95,1.5,1.15
3.96,3.4,2.84,1.93,1.47,1.13
4.03,3.48,2.9,1.96,1.48,1.14
4.21,3.69,3.12,2.17,1.65,1.2
4.17,3.63,3.06,2.11,1.6,1.15
4.27,3.73,3.15,2.19,1.67,1.21
4.27,3.72,3.14,2.17,1.65,1.21
4.32,3.77,3.17,2.2,1.69,1.22
4.29,3.72,3.15,2.18,1.65,1.21
NA,NA,NA,NA,NA,NA
4.37,3.82,3.23,2.25,1.73,1.23
4.43,3.88,3.3,2.32,1.79,1.27
4.47,3.97,3.4,2.47,1.96,1.34
4.41,3.9,3.33,2.41,1.9,1.31
4.41,3.89,3.33,2.42,1.88,1.32
4.38,3.86,3.31,2.41,1.89,1.32
4.29,3.77,3.21,2.33,1.8,1.28
4.34,3.81,3.24,2.37,1.84,1.3
4.24,3.68,3.13,2.26,1.76,1.27
4.3,3.75,3.21,2.35,1.83,1.31
4.23,3.67,3.11,2.23,1.71,1.25
4.31,3.76,3.2,2.32,1.79,1.29
4.36,3.83,3.29,2.39,1.86,1.32
4.33,3.8,3.27,2.36,1.85,1.31
4.4,3.88,3.34,2.44,1.9,1.33
4.33,3.81,3.28,2.4,1.86,1.31
4.38,3.88,3.35,2.46,1.94,1.35
4.45,3.96,3.43,2.55,2.01,1.38
4.48,3.99,3.47,2.6,2.04,1.4
4.49,4,3.49,2.63,2.06,1.39
NA,NA,NA,NA,NA,NA
4.44,3.95,3.45,2.59,2.05,1.39
